Date,Mean Humidity
2017-01-01,77.51
2017-01-02,80.68
2017-01-03,80.82
2017-01-04,78.61
2017-01-05,75.79
2017-01-06,73.99
2017-01-07,71.86
2017-01-08,70.71
2017-01-09,70.11
2017-01-10,69.95
2017-01-11,70.14
2017-01-12,69.87
2017-01-13,69.93
2017-01-14,69.84
2017-01-15,69.72
2017-01-16,69.5
2017-01-17,69.38
2017-01-18,69.51
2017-01-19,69.66
2017-01-20,70.2
2017-01-21,70.49
2017-01-22,70.79
2017-01-23,71.41
2017-01-24,72.1
2017-01-25,72.13
2017-01-26,72.1
2017-01-27,72.08
2017-01-28,72.25
2017-01-29,72.34
2017-01-30,72.59
2017-01-31,72.49
2017-02-01,72.27
2017-02-02,72.21
2017-02-03,72.08
2017-02-04,72.15
2017-02-05,72.11
2017-02-06,71.99
2017-02-07,72.12
2017-02-08,72.11
2017-02-09,71.88
2017-02-10,71.63
2017-02-11,71.42
2017-02-12,71.56
2017-02-13,71.66
2017-02-14,71.69
2017-02-15,71.82
2017-02-16,71.76
2017-02-17,71.63
2017-02-18,71.67
2017-02-19,71.63
2017-02-20,71.58
2017-02-21,71.59
2017-02-22,71.59
2017-02-23,71.63
2017-02-24,71.9
2017-02-25,71.94
2017-02-26,71.97
2017-02-27,71.98
2017-02-28,72.11
2017-03-01,72.29
2017-03-02,72.32
2017-03-03,72.51
2017-03-04,72.75
2017-03-05,72.74
2017-03-06,72.72
2017-03-07,72.67
2017-03-08,72.58
2017-03-09,72.45
2017-03-10,72.36
2017-03-11,72.31
2017-03-12,72.39
2017-03-13,72.35
2017-03-14,72.44
2017-03-15,72.29
2017-03-16,72.22
2017-03-17,72.26
2017-03-18,72.2
2017-03-19,72.14
2017-03-20,72.27
2017-03-21,72.17
2017-03-22,72.14
2017-03-23,72.08
2017-03-24,72.06
2017-03-25,72.03
2017-03-26,71.98
2017-03-27,71.96
2017-03-28,72.1
2017-03-29,72.15
2017-03-30,72.26
2017-03-31,72.29
2017-04-01,72.35
2017-04-02,72.37
2017-04-03,72.42
2017-04-04,72.42
