Date,Mean Temperature
2017-01-01,28.87
2017-01-02,28.25
2017-01-03,28.25
2017-01-04,28.32
2017-01-05,28.61
2017-01-06,28.95
2017-01-07,29.32
2017-01-08,29.58
2017-01-09,29.74
2017-01-10,29.82
2017-01-11,29.82
2017-01-12,29.83
2017-01-13,29.83
2017-01-14,29.82
2017-01-15,29.83
2017-01-16,29.83
2017-01-17,29.85
2017-01-18,29.81
2017-01-19,29.79
2017-01-20,29.63
2017-01-21,29.57
2017-01-22,29.52
2017-01-23,29.35
2017-01-24,29.14
2017-01-25,29.09
2017-01-26,29.09
2017-01-27,29.1
2017-01-28,29.06
2017-01-29,29.01
2017-01-30,28.96
2017-01-31,28.96
2017-02-01,28.96
2017-02-02,28.96
2017-02-03,29.0
2017-02-04,29.01
2017-02-05,29.04
2017-02-06,29.07
2017-02-07,29.06
2017-02-08,29.06
2017-02-09,29.08
2017-02-10,29.1
2017-02-11,29.11
2017-02-12,29.07
2017-02-13,29.05
2017-02-14,29.04
2017-02-15,29.0
2017-02-16,28.99
2017-02-17,29.01
2017-02-18,29.0
2017-02-19,29.02
2017-02-20,29.03
2017-02-21,29.04
2017-02-22,29.05
2017-02-23,29.05
2017-02-24,28.97
2017-02-25,28.98
2017-02-26,28.98
2017-02-27,28.98
2017-02-28,28.97
2017-03-01,28.92
2017-03-02,28.91
2017-03-03,28.88
2017-03-04,28.83
2017-03-05,28.84
2017-03-06,28.84
2017-03-07,28.85
2017-03-08,28.86
2017-03-09,28.87
2017-03-10,28.88
2017-03-11,28.89
2017-03-12,28.87
2017-03-13,28.89
2017-03-14,28.86
2017-03-15,28.89
2017-03-16,28.92
2017-03-17,28.92
2017-03-18,28.94
2017-03-19,28.96
2017-03-20,28.93
2017-03-21,28.95
2017-03-22,28.96
2017-03-23,28.99
2017-03-24,28.99
2017-03-25,29.01
2017-03-26,29.03
2017-03-27,29.05
2017-03-28,29.03
2017-03-29,29.03
2017-03-30,29.0
2017-03-31,29.01
2017-04-01,29.01
2017-04-02,29.01
2017-04-03,29.0
2017-04-04,29.01
2017-04-05,29.02
2017-04-06,29.04
2017-04-07,29.06
2017-04-08,29.04
2017-04-09,29.05
2017-04-10,29.05
2017-04-11,29.06
2017-04-12,29.07
2017-04-13,29.06
2017-04-14,29.06
2017-04-15,29.07
2017-04-16,29.08
2017-04-17,29.1
2017-04-18,29.09
2017-04-19,29.11
2017-04-20,29.11
2017-04-21,29.1
2017-04-22,29.1
2017-04-23,29.11
2017-04-24,29.11
2017-04-25,29.1
2017-04-26,29.1
2017-04-27,29.1
2017-04-28,29.1
2017-04-29,29.1
2017-04-30,29.11
2017-05-01,29.12
2017-05-02,29.12
2017-05-03,29.13
2017-05-04,29.13
2017-05-05,29.14
2017-05-06,29.14
2017-05-07,29.13
2017-05-08,29.14
2017-05-09,29.15
2017-05-10,29.13
2017-05-11,29.14
2017-05-12,29.13
2017-05-13,29.14
2017-05-14,29.14
2017-05-15,29.14
2017-05-16,29.15
2017-05-17,29.16
2017-05-18,29.16
2017-05-19,29.17
2017-05-20,29.18
2017-05-21,29.18
2017-05-22,29.18
2017-05-23,29.19
2017-05-24,29.17
2017-05-25,29.18
2017-05-26,29.17
2017-05-27,29.17
2017-05-28,29.18
2017-05-29,29.19
2017-05-30,29.17
2017-05-31,29.18
2017-06-01,29.18
2017-06-02,29.19
2017-06-03,29.2
2017-06-04,29.22
2017-06-05,29.23
2017-06-06,29.24
2017-06-07,29.25
2017-06-08,29.26
2017-06-09,29.28
2017-06-10,29.28
2017-06-11,29.29
2017-06-12,29.29
2017-06-13,29.3
2017-06-14,29.3
2017-06-15,29.31
2017-06-16,29.31
2017-06-17,29.32
2017-06-18,29.31
2017-06-19,29.31
2017-06-20,29.32
2017-06-21,29.32
2017-06-22,29.32
2017-06-23,29.31
2017-06-24,29.31
2017-06-25,29.3
2017-06-26,29.3
2017-06-27,29.29
2017-06-28,29.29
2017-06-29,29.29
2017-06-30,29.29
2017-07-01,29.3
2017-07-02,29.31
2017-07-03,29.3
2017-07-04,29.3
2017-07-05,29.29
2017-07-06,29.29
2017-07-07,29.3
2017-07-08,29.3
2017-07-09,29.29
2017-07-10,29.3
2017-07-11,29.3
2017-07-12,29.29
2017-07-13,29.28
2017-07-14,29.27
2017-07-15,29.27
2017-07-16,29.27
2017-07-17,29.28
2017-07-18,29.28
2017-07-19,29.28
2017-07-20,29.29
2017-07-21,29.29
2017-07-22,29.3
2017-07-23,29.3
2017-07-24,29.31
2017-07-25,29.32
2017-07-26,29.31
2017-07-27,29.32
2017-07-28,29.32
2017-07-29,29.33
2017-07-30,29.34
2017-07-31,29.34
2017-08-01,29.35
2017-08-02,29.35
2017-08-03,29.36
2017-08-04,29.36
2017-08-05,29.37
2017-08-06,29.37
2017-08-07,29.37
2017-08-08,29.37
2017-08-09,29.37
2017-08-10,29.37
2017-08-11,29.36
2017-08-12,29.35
2017-08-13,29.35
2017-08-14,29.35
